antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'DA0101EN', 'PY0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.095824616200607,0.3123139935763326,0.061938297433479686,0.6463714637146372,2.0696205645894556,0.03201092886494877,1.944656428599797,0.5715922528215949
"frozenset({'DA0101EN', 'BD0111EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.06733064207207473,0.44010961487462064,0.061938297433479686,0.9199124726477024,2.0901894472579725,0.03230543448187795,6.99098103831416,0.5592276220356895
"frozenset({'DA0101EN', 'BD0111EN'})","frozenset({'PY0101EN', 'BD0101EN'})",0.08123876594866959,0.21189262456905442,0.061938297433479686,0.7624229234675373,3.598156967559145,0.04472440209986496,3.3172702810123935,0.7859277397927019
"frozenset({'DA0101EN', 'PY0101EN', 'BD0111EN'})",frozenset({'DS0101EN'}),0.0738132421840469,0.426584553731915,0.050858944514836316,0.6890219560878245,1.6152060595256268,0.019371355538248904,1.8439097469853059,0.4112388176635867
"frozenset({'DA0101EN', 'BD0111EN', 'DS0101EN'})",frozenset({'PY0101EN'}),0.05389398002180511,0.44010961487462064,0.050858944514836316,0.9436850738108257,2.1442046297481245,0.027139685723379173,9.942131207711848,0.564024105492168
"frozenset({'DA0101EN', 'BD0111EN'})","frozenset({'PY0101EN', 'DS0101EN'})",0.08123876594866959,0.26619913368889414,0.050858944514836316,0.6260428001450853,2.351783762289546,0.02923325539734564,1.9622589606398828,0.6256150323654303
"frozenset({'DA0101EN', 'BD0111EN', 'DS0101EN'})",frozenset({'BD0101EN'}),0.05389398002180511,0.3916374458555559,0.047205115360815626,0.875888463641334,2.2364778263934957,0.02609821467808552,4.90174057942814,0.5843619505454982
"frozenset({'DA0101EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.06733064207207473,0.426584553731915,0.047205115360815626,0.7010940919037199,1.64350557414772,0.018482903460016326,1.918381105011089,0.41981062232174393
"frozenset({'DA0101EN', 'DS0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.07337124672186698,0.3123139935763326,0.047205115360815626,0.6433734939759036,2.060021347774341,0.024290248283434946,1.9283087342285268,0.5553120767133429
"frozenset({'DA0101EN', 'PY0101EN', 'BD0111EN', 'DS0101EN'})",frozenset({'BD0101EN'}),0.050858944514836316,0.3916374458555559,0.044906738957480034,0.8829663962920046,2.2545504921346593,0.024988471828780105,5.198186972541139,0.5862696600849826
